
2023/09/10 (23:02:16) | ===> btop++ v.1.2.13
2023/09/10 (23:02:16) | ERROR: Stall in Runner thread, restarting!
2023/09/10 (23:43:02) | WARNING: Failed to join _runner thread on exit!

2023/11/16 (12:18:11) | ===> btop++ v.1.2.13
2023/11/16 (12:18:11) | ERROR: Stall in Runner thread, restarting!

2024/04/17 (02:14:21) | ===> btop++ v.1.3.2
2024/04/17 (02:14:21) | ERROR: Stall in Runner thread, restarting!

2024/06/04 (01:28:43) | ===> btop++ v.1.3.2
2024/06/04 (01:28:43) | ERROR: Stall in Runner thread, restarting!

2024/06/28 (22:16:36) | ===> btop++ v.1.3.2
2024/06/28 (22:16:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\134x20Files" with statvfs error code: 2. Ignoring...

2024/06/29 (22:11:47) | ===> btop++ v.1.3.2
2024/06/29 (22:11:47) | WARNING: Failed to get disk/partition stats for mount "/media/Media\134x20Files" with statvfs error code: 2. Ignoring...

2024/06/29 (22:16:32) | ===> btop++ v.1.3.2
2024/06/29 (22:16:32) | WARNING: Failed to get disk/partition stats for mount "/media/Media\134x20Files" with statvfs error code: 2. Ignoring...

2024/07/02 (15:04:23) | ===> btop++ v.1.3.2
2024/07/02 (15:04:23) | WARNING: Failed to get disk/partition stats for mount "/media/Media\134x20Files" with statvfs error code: 2. Ignoring...

2024/07/03 (11:17:41) | ===> btop++ v.1.3.2
2024/07/03 (11:17:41) | WARNING: Failed to get disk/partition stats for mount "/media/Media\134x20Files" with statvfs error code: 2. Ignoring...

2024/07/03 (20:59:37) | ===> btop++ v.1.3.2
2024/07/03 (20:59:37) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (01:03:13) | ===> btop++ v.1.3.2
2024/07/04 (01:03:13) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (01:03:27) | ===> btop++ v.1.3.2
2024/07/04 (01:03:27) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (01:05:47) | ===> btop++ v.1.3.2
2024/07/04 (01:05:47) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (01:26:45) | ===> btop++ v.1.3.2
2024/07/04 (01:26:45) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (12:52:59) | ===> btop++ v.1.3.2
2024/07/04 (12:52:59) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/04 (23:58:15) | ===> btop++ v.1.3.2
2024/07/04 (23:58:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/07 (21:49:14) | ===> btop++ v.1.3.2
2024/07/07 (21:49:14) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/07 (21:50:15) | ===> btop++ v.1.3.2
2024/07/07 (21:50:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/07 (21:50:22) | ===> btop++ v.1.3.2
2024/07/07 (21:50:22) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/07 (22:48:47) | ===> btop++ v.1.3.2
2024/07/07 (22:48:47) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/09 (01:30:15) | ===> btop++ v.1.3.2
2024/07/09 (01:30:15) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/09 (18:30:29) | ===> btop++ v.1.3.2
2024/07/09 (18:30:29) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/12 (17:54:12) | ===> btop++ v.1.3.2
2024/07/12 (17:54:12) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/12 (17:54:18) | ===> btop++ v.1.3.2
2024/07/12 (17:54:18) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...
2024/07/12 (18:01:15) | ERROR: Stall in Runner thread, restarting!

2024/07/16 (23:56:11) | ===> btop++ v.1.3.2
2024/07/16 (23:56:11) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/18 (12:56:38) | ===> btop++ v.1.3.2
2024/07/18 (12:56:38) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/19 (08:39:36) | ===> btop++ v.1.3.2
2024/07/19 (08:39:36) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/20 (11:14:45) | ===> btop++ v.1.3.2
2024/07/20 (11:14:45) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/20 (21:50:45) | ===> btop++ v.1.3.2
2024/07/20 (21:50:45) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/21 (14:15:08) | ===> btop++ v.1.3.2
2024/07/21 (14:15:08) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/22 (12:00:29) | ===> btop++ v.1.3.2
2024/07/22 (12:00:29) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/22 (22:12:16) | ===> btop++ v.1.3.2
2024/07/22 (22:12:16) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/23 (18:45:19) | ===> btop++ v.1.3.2
2024/07/23 (18:45:19) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/23 (20:35:31) | ===> btop++ v.1.3.2
2024/07/23 (20:35:31) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/24 (11:09:02) | ===> btop++ v.1.3.2
2024/07/24 (11:09:02) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/26 (11:24:24) | ===> btop++ v.1.3.2
2024/07/26 (11:24:24) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/29 (11:25:38) | ===> btop++ v.1.3.2
2024/07/29 (11:25:38) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/30 (14:20:19) | ===> btop++ v.1.3.2
2024/07/30 (14:20:19) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...
2024/07/30 (14:25:46) | ERROR: Stall in Runner thread, restarting!

2024/07/30 (15:00:54) | ===> btop++ v.1.3.2
2024/07/30 (15:00:54) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/07/31 (14:50:43) | ===> btop++ v.1.3.2
2024/07/31 (14:50:43) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (21:29:21) | ===> btop++ v.1.3.2
2024/08/02 (21:29:21) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (23:42:49) | ===> btop++ v.1.3.2
2024/08/02 (23:42:49) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/02 (23:51:44) | ===> btop++ v.1.3.2
2024/08/02 (23:51:44) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/04 (10:31:09) | ===> btop++ v.1.3.2
2024/08/04 (10:31:09) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/04 (15:33:18) | ===> btop++ v.1.3.2
2024/08/04 (15:33:18) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/05 (02:33:52) | ===> btop++ v.1.3.2
2024/08/05 (02:33:52) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/06 (15:52:42) | ===> btop++ v.1.3.2
2024/08/06 (15:52:42) | WARNING: Failed to get disk/partition stats for mount "/media/Media\040Files" with statvfs error code: 2. Ignoring...

2024/08/06 (22:12:58) | ===> btop++ v.1.3.2
